subject_id,image_name_1,image_name_2,image_name_3,source_name,ra,dec,#size
370,ILTJ142442.17+342141.6_I.png,ILTJ142442.17+342141.6_Ip.png,ILTJ142442.17+342141.6_S.png,ILTJ142442.17+342141.6,216.175727,34.361559,30.000000
371,ILTJ142445.36+333055.9_I.png,ILTJ142445.36+333055.9_Ip.png,ILTJ142445.36+333055.9_S.png,ILTJ142445.36+333055.9,216.188984,33.515530,30.000000
369,ILTJ142446.30+345247.3_I.png,ILTJ142446.30+345247.3_Ip.png,ILTJ142446.30+345247.3_S.png,ILTJ142446.30+345247.3,216.192911,34.879830,40.000000
368,ILTJ142456.37+352840.8_I.png,ILTJ142456.37+352840.8_Ip.png,ILTJ142456.37+352840.8_S.png,ILTJ142456.37+352840.8,216.242421,35.479438,90.000000
366,ILTJ142502.82+353421.1_I.png,ILTJ142502.82+353421.1_Ip.png,ILTJ142502.82+353421.1_S.png,ILTJ142502.82+353421.1,216.261756,35.572538,30.000000
364,ILTJ142512.41+350539.7_I.png,ILTJ142512.41+350539.7_Ip.png,ILTJ142512.41+350539.7_S.png,ILTJ142512.41+350539.7,216.301698,35.094369,40.000000
367,ILTJ142512.83+330451.4_I.png,ILTJ142512.83+330451.4_Ip.png,ILTJ142512.83+330451.4_S.png,ILTJ142512.83+330451.4,216.307286,33.075995,50.000000
363,ILTJ142516.53+342221.4_I.png,ILTJ142516.53+342221.4_Ip.png,ILTJ142516.53+342221.4_S.png,ILTJ142516.53+342221.4,216.318870,34.372610,50.000000
361,ILTJ142518.08+354239.6_I.png,ILTJ142518.08+354239.6_Ip.png,ILTJ142518.08+354239.6_S.png,ILTJ142518.08+354239.6,216.325348,35.711011,30.000000
365,ILTJ142520.25+322855.2_I.png,ILTJ142520.25+322855.2_Ip.png,ILTJ142520.25+322855.2_S.png,ILTJ142520.25+322855.2,216.334376,32.482012,30.000000
359,ILTJ142523.99+353717.6_I.png,ILTJ142523.99+353717.6_Ip.png,ILTJ142523.99+353717.6_S.png,ILTJ142523.99+353717.6,216.349974,35.621572,30.000000
362,ILTJ142526.45+331232.7_I.png,ILTJ142526.45+331232.7_Ip.png,ILTJ142526.45+331232.7_S.png,ILTJ142526.45+331232.7,216.360195,33.209101,30.000000
360,ILTJ142533.13+323559.4_I.png,ILTJ142533.13+323559.4_Ip.png,ILTJ142533.13+323559.4_S.png,ILTJ142533.13+323559.4,216.388031,32.599855,40.000000
358,ILTJ142537.12+344008.2_I.png,ILTJ142537.12+344008.2_Ip.png,ILTJ142537.12+344008.2_S.png,ILTJ142537.12+344008.2,216.404673,34.668961,40.000000
357,ILTJ142537.81+344908.3_I.png,ILTJ142537.81+344908.3_Ip.png,ILTJ142537.81+344908.3_S.png,ILTJ142537.81+344908.3,216.407543,34.818980,30.000000
355,ILTJ142541.37+345826.9_I.png,ILTJ142541.37+345826.9_Ip.png,ILTJ142541.37+345826.9_S.png,ILTJ142541.37+345826.9,216.422364,34.974156,70.000000
353,ILTJ142543.09+353055.0_I.png,ILTJ142543.09+353055.0_Ip.png,ILTJ142543.09+353055.0_S.png,ILTJ142543.09+353055.0,216.429532,35.515286,30.000000
356,ILTJ142548.49+333441.2_I.png,ILTJ142548.49+333441.2_Ip.png,ILTJ142548.49+333441.2_S.png,ILTJ142548.49+333441.2,216.452026,33.578112,40.000000
352,ILTJ142549.14+341358.8_I.png,ILTJ142549.14+341358.8_Ip.png,ILTJ142549.14+341358.8_S.png,ILTJ142549.14+341358.8,216.454736,34.233008,40.000000
354,ILTJ142553.98+323006.2_I.png,ILTJ142553.98+323006.2_Ip.png,ILTJ142553.98+323006.2_S.png,ILTJ142553.98+323006.2,216.474920,32.501748,30.000000
350,ILTJ142554.85+350807.1_I.png,ILTJ142554.85+350807.1_Ip.png,ILTJ142554.85+350807.1_S.png,ILTJ142554.85+350807.1,216.478532,35.135310,30.000000
349,ILTJ142557.93+351258.3_I.png,ILTJ142557.93+351258.3_Ip.png,ILTJ142557.93+351258.3_S.png,ILTJ142557.93+351258.3,216.491363,35.216211,30.000000
348,ILTJ142602.09+343106.3_I.png,ILTJ142602.09+343106.3_Ip.png,ILTJ142602.09+343106.3_S.png,ILTJ142602.09+343106.3,216.508700,34.518433,30.000000
351,ILTJ142603.46+330951.6_I.png,ILTJ142603.46+330951.6_Ip.png,ILTJ142603.46+330951.6_S.png,ILTJ142603.46+330951.6,216.514435,33.164336,30.000000
342,ILTJ142604.88+354556.0_I.png,ILTJ142604.88+354556.0_Ip.png,ILTJ142604.88+354556.0_S.png,ILTJ142604.88+354556.0,216.520326,35.765573,50.000000
